time,r TA_C1.Vt,r TC_C1.Vt
0.00865866,-1.55369,-4.7183e-09
0.00870871,-1.79122,-4.57136e-09
0.00875876,-2.02813,-4.26084e-09
0.00880881,-2.2643,-4.16959e-09
0.00885886,-2.49968,-3.90354e-09
0.00890891,-2.73416,-3.84845e-09
0.00895896,-2.96767,-3.61223e-09
0.00900901,-3.20012,-3.58207e-09
0.00905906,-3.43143,-3.36693e-09
0.00910911,-3.66153,-3.35476e-09
0.00915916,-3.89032,-3.15511e-09
0.00920921,-4.11772,-3.15638e-09
0.00925926,-4.34366,-2.96847e-09
0.00930931,-4.56805,-2.98005e-09
0.00935936,-4.79081,-2.80125e-09
0.00940941,-5.01187,-2.82092e-09
0.00945946,-5.23115,-2.64934e-09
0.00950951,-5.44856,-2.67547e-09
0.00955956,-5.66403,-2.5097e-09
0.00960961,-5.87749,-2.54107e-09
0.00965966,-6.08885,-2.38004e-09
0.00970971,-6.29805,-2.41572e-09
0.00975976,-6505,-2.2586e-09
0.00980981,-6.70964,-2.29784e-09
0.00985986,-6.91189,-2.14399e-09
0.00990991,-7.11168,-2.18622e-09
0.00995996,-7.30894,-2.03511e-09
0.01001,-7.50359,-2.07988e-09
0.0100601,-7.69558,-1.93109e-09
0.0101101,-7.88482,"-1,978E-06"
0.0101602,-8.07126,-1.8312e-09
0.0102102,-8.25482,-1.87994e-09
0.0102603,-8.43545,-1.73484e-09
0.0103103,-8.61307,-1.78516e-09
0.0103604,-8.78762,-1.64152e-09
0.0104104,-8.95905,-1.6932e-09
0.0104605,-9.12729,-1.55083e-09
0.0105105,-9.29228,-1.60369e-09
0.0105606,-9.45396,-1.46242e-09
0.0106106,-9.61227,-1.51631e-09
0.0106607,-9.76716,-1.37599e-09
0.0107107,-9.91858,-1.43077e-09
0.0107608,-10.0665,-1.29129e-09
0.0108108,-10.2108,-1.34685e-09
0.0108609,-10.3514,-1.20811e-09
0.0109109,-10.4884,-1.26435e-09
0.010961,-10.6217,-1.12624e-09
0.011011,-10.7511,-1.18308e-09
0.0110611,-10.8768,-1.04553e-09
0.0111111,-10.9985,-1.10289e-09
0.0111612,-11.1164,-9.65834e-10
0.0112112,-11.2303,-1.02366e-09
0.0112613,-11.3402,-8.87027e-10
0.0113113,-11446,-9.45251e-10
0.0113614,-11.5478,-8.08995e-10
0.0114114,-11.6455,-8.67569e-10
0.0114615,-11739,-7.31641e-10
0.0115115,-11.8283,-7.9052e-10
0.0115616,-11.9135,-6.54876e-10
0.0116116,-11.9944,-7.14019e-10
0.0116617,-12071,-5.7862e-10
0.0117117,-12.1433,-6.3799e-10
0.0117618,-12.2113,-5.02802e-10
0.0118118,-12275,-5.62366e-10
0.0118619,-12.3343,-4.27356e-10
0.0119119,-12.3892,-4.87083e-10
0.011962,-12.4396,-3.52222e-10
0.012012,-12.4857,-4.12084e-10
0.0120621,-12.5273,-2.77344e-10
0.0121121,-12.5645,-3.37314e-10
0.0121622,-12.5971,-2.0267e-10
0.0122122,-12.6253,-2.62724e-10
0.0122623,-12649,-1.28151e-10
0.0123123,-12.6682,-1.88264e-10
0.0123624,-12.6829,-5.37397e-11
0.0124124,-12.6931,-1.13889e-10
0.0124625,-12.6987,2.06101e-11
0.0125125,-12.6999,-3.95531e-11
0.0125626,-12.6965,9.49432e-11
0.0126126,-12.6886,3.47884e-11
0.0126627,-12.6761,1.69304e-10
0.0127127,-12.6592,1.0918e-10
0.0127628,-12.6377,2.43738e-10
0.0128128,-12.6118,1.83668e-10
0.0128629,-12.5814,3.18292e-10
0.0129129,-12.5464,2.58299e-10
0.012963,-12.5071,3.93012e-10
0.013013,-12.4632,3.33121e-10
0.0130631,-12415,4.67948e-10
0.0131131,-12.3623,4.08186e-10
0.0131632,-12.3052,5.43155e-10
0.0132132,-12.2437,4.83549e-10
0.0132633,-12.1779,6.18688e-10
0.0133133,-12.1077,5.59268e-10
0.0133634,-12.0332,6.94609e-10
0.0134134,-11.9545,6.35408e-10
0.0134635,-11.8714,7.70986e-10
0.0135135,-11.7842,7.12039e-10
0.0135636,-11.6928,8.4789e-10
0.0136136,-11.5971,7.89238e-10
