time,r TA_C2.Vt,r TC_C2.Vt
0.00991653,-7.13791,8.75643
0.00996661,-7.33496,8.7321
0.0100167,-7.52939,8.70784
0.0100668,-7.72114,8.68365
0.0101169,-7.91013,8.65952
0.0101669,-8.09631,8.63546
0.010217,-8.2796,8.61146
0.0102671,-8.45994,8.58754
0.0103172,-8.63726,8.56367
0.0103673,-8.81151,8.53988
0.0104174,-8.98261,8.51615
0.0104674,-9.15051,8.4925
0.0105175,-9.31515,8.47834
0.0105676,-9.47647,8.60949
0.0106177,-9.63441,8.76781
0.0106678,-9.78891,8.92275
0.0107179,-9.93993,9.07422
0.0107679,-10.0874,9.22216
0.010818,-10.2313,9.36652
0.0108681,-10.3715,9.50726
0.0109182,-10508,9.64432
0.0109683,-10.6408,9.77765
0.0110184,-10.7698,9.9072
0.0110684,-10895,10.0329
0.0111185,-11.0162,10.1548
0.0111686,-11.1336,10.2728
0.0112187,-11247,10.3868
0.0112688,-11.3563,10.4969
0.0113189,-11.4616,10.6029
0.0113689,-11.5629,10.7049
0.011419,-11.66,10.8028
0.0114691,-11.7529,10.8965
0.0115192,-11.8417,10.9861
0.0115693,-11.9262,11.0716
0.0116194,-12.0065,11.1528
0.0116694,-12.0825,11.2298
0.0117195,-12.1542,11.3025
0.0117696,-12.2216,11.3709
0.0118197,-12.2846,11435
0.0118698,-12.3432,11.4948
0.0119199,-12.3975,11.5503
0.0119699,-12.4473,11.6014
0.01202,-12.4927,11.6482
0.0120701,-12.5336,11.6906
0.0121202,-12.57,11.7286
0.0121703,-12602,11.7622
0.0122204,-12.6295,11.7915
0.0122705,-12.6525,11.8164
0.0123205,-12.6709,11.8369
0.0123706,-12.6849,11.8532
0.0124207,-12.6943,11865
0.0124708,-12.6992,11.8727
0.0125209,-12.6996,11876
0.012571,-12.6955,11.8752
0.012621,-12.6868,11.8703
0.0126711,-12.6736,11.8614
0.0127212,-12.6559,11.8486
0.0127713,-12.6336,11.8321
0.0128214,-12.6069,11.8121
0.0128715,-12.5757,11789
0.0129215,-12.54,11.7631
0.0129716,-12.4998,11735
0.0130217,-12.4552,11.7051
0.0130718,-12.4061,11674
0.0131219,-12.3526,11.6423
0.013172,-12.2947,11.6102
0.013222,-12.2324,11.5781
0.0132721,-12.1658,11.5459
0.0133222,-12.0948,11.5139
0.0133723,-12.0195,11.4819
0.0134224,-11.9399,11.45
0.0134725,-11.8561,11.4181
0.0135225,-11768,11.3864
0.0135726,-11.6758,11.3548
0.0136227,-11.5793,11.3232
0.0136728,-11.4788,11.2918
0.0137229,-11.3742,11.2604
0.013773,-11.2655,11.2291
0.013823,-11.1528,11.1979
0.0138731,-11.0361,11.1668
0.0139232,-10.9155,11.1358
0.0139733,-10.7909,11.1048
0.0140234,-10.6626,11074
0.0140735,-10.5304,11.0432
0.0141235,-10.3945,11.0125
0.0141736,-10.2549,10.9819
0.0142237,-10.1116,10.9514
0.0142738,-9.96476,10921
0.0143239,-9.81433,10.8906
0.014374,-9.6604,10.8604
0.014424,-9.50303,10.8302
0.0144741,-9.34227,10.8001
0.0145242,-9.17818,10.7701
0.0145743,-9.01082,10.7402
0.0146244,-8.84024,10.7103
0.0146745,-8.66652,10.6806
0.0147245,-8.48971,10.6509
0.0147746,-8.30986,10.6213
0.0148247,-8.12706,10.5918
0.0148748,-7.94136,10.5624
0.0149249,-7.75283,10533
0.014975,-7.56154,10.5037
0.015025,-7.36754,10.4746
0.0150751,-7.17093,10.4455
0.0151252,-6.97175,10.4164
0.0151753,-6.7701,10.3875
0.0152254,-6.56602,10.3586
0.0152755,-6.35961,10.3298
0.0153255,-6.15093,10.3011
0.0153756,-5.94006,10.2725
0.0154257,-5.72707,10244
0.0154758,-5.51204,10.2155
0.0155259,-5.29504,10.1871
0.015576,-5.07616,10.1588
0.015626,-4.85546,10.1306
0.0156761,-4.63304,10.1024
0.0157262,-4.40896,10.0744
0.0157763,-4.18332,10.0464
